incident_severity,umbrella_limit,witnesses,vehicle_claim,incident_city,total_claim_amount,insured_hobbies,authorities_contacted,property_claim,incident_state,policy_state,bodily_injuries,policy_csl,insured_sex,injury_claim,auto_make,number_of_vehicles_involved,police_report_available,incident_type,insured_relationship,fraud_reported
Major Damage,0,2,52080,Columbus,71610,sleeping,Police,13020,SC,OH,1,250/500,MALE,6510,Saab,1,YES,Single Vehicle Collision,husband,Y
Minor Damage,5000000,0,3510,Riverwood,5070,reading,Police,780,VA,IN,0,250/500,MALE,780,Mercedes,1,NO,Vehicle Theft,other-relative,Y
Minor Damage,5000000,3,23100,Columbus,34650,board-games,Police,3850,NY,OH,2,100/300,FEMALE,7700,Dodge,3,NO,Multi-vehicle Collision,own-child,N
Major Damage,6000000,2,50720,Arlington,63400,board-games,Police,6340,OH,IL,1,250/500,FEMALE,6340,Chevrolet,1,NO,Single Vehicle Collision,unmarried,Y
Minor Damage,6000000,1,4550,Arlington,6500,board-games,,650,NY,IL,0,500/1000,MALE,1300,Accura,1,NO,Vehicle Theft,unmarried,N
Major Damage,0,2,51280,Arlington,64100,bungie-jumping,Fire,6410,SC,OH,0,250/500,FEMALE,6410,Saab,3,NO,Multi-vehicle Collision,unmarried,Y
Minor Damage,0,0,50050,Springfield,78650,board-games,Police,7150,NY,IN,0,250/500,MALE,21450,Nissan,3,NO,Multi-vehicle Collision,husband,N
Total Loss,0,2,32830,Columbus,51590,base-jumping,Police,9380,VA,IL,2,100/300,MALE,9380,Audi,3,YES,Multi-vehicle Collision,unmarried,N
Total Loss,0,1,22160,Arlington,27700,golf,Police,2770,WV,IL,1,100/300,FEMALE,2770,Toyota,1,YES,Single Vehicle Collision,own-child,N
Total Loss,0,1,32900,Hillsdale,42300,camping,Other,4700,NC,IL,2,100/300,MALE,4700,Saab,1,NO,Single Vehicle Collision,wife,N
Total Loss,4000000,2,63280,Northbend,87010,dancing,Police,15820,NY,OH,2,100/300,FEMALE,7910,Ford,1,NO,Single Vehicle Collision,other-relative,N
Major Damage,0,2,79560,Springfield,114920,skydiving,Fire,17680,SC,OH,1,100/300,FEMALE,17680,Audi,3,YES,Multi-vehicle Collision,other-relative,N
Total Loss,3000000,0,42390,Northbend,56520,reading,Ambulance,9420,SC,OH,1,500/1000,MALE,4710,Saab,1,NO,Single Vehicle Collision,wife,N
Minor Damage,0,1,5040,Springfield,7280,bungie-jumping,,1120,SC,OH,1,100/300,FEMALE,1120,Toyota,1,NO,Parked Car,wife,N
Total Loss,0,2,33600,Springfield,46200,board-games,Police,8400,SC,OH,0,250/500,FEMALE,4200,Dodge,1,YES,Single Vehicle Collision,not-in-family,Y
Major Damage,0,0,42080,Hillsdale,63120,movies,Other,10520,WV,IN,0,100/300,FEMALE,10520,Accura,4,NO,Multi-vehicle Collision,other-relative,Y
Major Damage,5000000,2,40530,Riverwood,52110,hiking,Other,5790,NY,OH,1,500/1000,MALE,5790,Nissan,3,YES,Multi-vehicle Collision,own-child,N
Total Loss,6000000,2,56640,Northbend,77880,reading,Police,7080,WV,IN,0,500/1000,MALE,14160,Suburu,1,YES,Single Vehicle Collision,unmarried,N
Total Loss,0,0,53040,Northbrook,72930,yachting,Other,13260,NY,OH,1,500/1000,FEMALE,6630,Accura,1,NO,Single Vehicle Collision,other-relative,N
Major Damage,0,0,48320,Columbus,60400,camping,Police,6040,VA,IN,2,500/1000,FEMALE,6040,Nissan,3,NO,Multi-vehicle Collision,own-child,N
Minor Damage,4000000,0,41920,Columbus,47160,bungie-jumping,Police,5240,NY,IN,1,250/500,MALE,0,Suburu,3,NO,Multi-vehicle Collision,own-child,N
Total Loss,0,2,33110,Arlington,37840,skydiving,Police,4730,SC,IL,1,500/1000,FEMALE,0,Accura,3,NO,Multi-vehicle Collision,own-child,N
Major Damage,0,0,47680,Hillsdale,71520,paintball,Ambulance,5960,SC,IL,0,100/300,MALE,17880,Suburu,3,YES,Multi-vehicle Collision,other-relative,Y
Total Loss,0,2,73620,Northbend,98160,chess,Ambulance,16360,WV,IN,2,100/300,MALE,8180,Dodge,1,NO,Single Vehicle Collision,own-child,Y
Minor Damage,0,3,56640,Riverwood,77880,kayaking,Other,14160,VA,IN,1,100/300,MALE,7080,Ford,1,NO,Single Vehicle Collision,husband,N
Major Damage,0,3,44000,Arlington,71500,polo,Other,11000,OH,OH,1,100/300,MALE,16500,Ford,3,YES,Multi-vehicle Collision,own-child,Y
Minor Damage,0,3,6560,Arlington,9020,golf,Police,820,PA,IN,1,100/300,MALE,1640,Toyota,1,YES,Parked Car,own-child,N
Minor Damage,3000000,1,4160,Northbrook,5720,chess,,520,VA,IN,2,100/300,MALE,1040,Suburu,1,NO,Vehicle Theft,not-in-family,Y
Minor Damage,0,0,46560,Northbend,69840,kayaking,Other,15520,SC,OH,1,100/300,FEMALE,7760,Dodge,1,YES,Single Vehicle Collision,not-in-family,N
Minor Damage,0,2,63450,Northbrook,91650,basketball,Police,14100,SC,IL,2,500/1000,FEMALE,14100,Accura,1,NO,Single Vehicle Collision,unmarried,N
Major Damage,0,0,50400,Columbus,75600,video-games,Ambulance,12600,SC,IL,0,250/500,MALE,12600,Toyota,4,NO,Multi-vehicle Collision,husband,N
